interwencja;p.stresu;plec;mniejszosc;studia;partner;zamieszkanie;praca;alkohol;wiek
0;12;0;0;0;1;0;1;1;68
1;13;0;0;0;0;0;1;0;57
0;16;1;0;1;1;0;1;1;45
0;10;1;0;0;0;0;1;1;68
0;15;0;0;1;1;1;1;0;35
0;10;1;0;1;0;0;1;1;70
0;12;1;0;1;0;0;1;1;58
0;17;0;0;1;1;2;1;0;59
0;11;0;0;1;1;0;1;1;59
0;16;1;0;0;1;0;1;1;67
0;15;0;0;0;1;0;1;1;47
0;10;0;0;1;0;0;1;0;53
0;17;0;0;0;0;2;1;0;72
0;12;0;0;1;1;0;1;1;48
0;10;0;0;1;1;0;1;0;36
0;11;0;0;1;1;0;1;1;41
1;10;0;0;0;0;0;1;0;73
0;15;0;0;1;1;0;1;0;68
0;14;1;0;1;1;0;1;1;56
0;14;1;0;1;1;0;1;1;30
0;14;1;0;1;1;2;1;0;45
0;16;0;0;1;0;0;0;0;35
0;15;0;0;1;1;0;1;1;68
0;11;0;0;1;1;2;1;0;63
1;18;1;0;0;1;1;1;1;36
0;14;1;0;1;0;0;0;0;38
1;13;1;0;1;1;1;1;1;42
0;11;0;0;1;1;0;1;0;61
0;10;1;0;0;1;0;1;1;78
0;12;0;0;1;1;0;1;0;48
0;12;1;0;0;0;2;1;1;72
1;10;1;0;0;1;1;1;1;67
0;13;0;0;1;0;0;1;0;32
0;15;0;0;0;0;0;1;0;40
0;16;0;0;1;0;0;1;1;32
0;10;1;0;1;1;0;1;0;60
0;12;0;0;0;0;1;1;0;66
0;10;1;0;1;1;0;0;0;42
0;11;0;0;1;0;0;1;1;42
0;10;0;0;1;1;1;0;0;34
1;12;0;0;0;0;2;1;1;69
0;13;1;0;0;0;0;1;1;72
0;10;0;0;0;1;0;1;0;73
0;14;1;0;1;1;0;1;1;38
0;12;0;0;0;1;0;1;0;36
0;18;0;0;1;0;0;1;1;58
0;13;0;0;1;0;0;1;1;60
0;10;1;0;0;0;1;1;0;67
0;11;1;0;0;0;0;1;1;70
0;14;1;0;1;1;0;1;1;54
0;14;0;0;0;1;0;1;0;66
0;17;1;0;1;1;0;1;0;45
0;10;1;0;0;0;0;1;1;67
1;11;0;0;0;1;0;1;1;40
0;15;0;0;0;1;1;1;1;58
0;10;1;0;1;1;0;0;0;63
0;18;0;0;0;1;0;1;0;63
0;35;0;0;1;1;0;1;1;38
0;12;1;0;1;1;0;1;1;30
0;10;1;0;0;1;0;1;0;41
0;16;1;0;0;1;0;1;1;47
0;13;1;0;0;1;1;1;1;63
0;11;0;0;1;0;0;1;1;71
0;10;0;0;1;1;0;1;1;55
1;14;0;0;1;0;2;1;1;46
0;12;0;0;1;1;0;1;0;67
0;15;1;0;0;1;0;0;0;31
0;10;0;0;1;1;0;1;0;32
0;15;0;0;1;1;2;1;0;31
0;22;0;0;1;1;1;1;0;44
0;14;0;0;1;1;1;1;0;38
0;13;1;0;0;1;0;0;0;57
0;28;0;1;1;1;2;1;1;44
0;16;0;0;0;0;1;1;0;67
0;13;0;0;1;0;0;1;1;46
0;16;1;0;1;1;1;0;1;61
0;8;0;0;1;0;1;1;1;54
0;11;0;0;1;1;1;1;1;48
0;12;1;0;1;1;0;0;0;31
0;10;1;1;0;1;1;0;0;33
0;15;0;0;0;1;0;1;1;77
0;13;0;0;1;1;1;1;0;70
0;19;1;0;0;0;1;1;0;65
0;12;1;0;0;0;0;1;1;71
0;13;0;0;1;0;0;1;1;42
0;10;1;0;1;1;0;1;1;61
0;14;0;0;1;1;0;1;0;57
0;12;1;0;1;1;0;1;1;30
0;45;0;0;1;0;0;1;0;31
0;11;0;0;0;0;0;1;0;61
0;10;1;0;1;1;0;1;0;64
0;22;0;0;0;1;1;1;1;47
0;12;0;0;1;1;0;1;1;75
1;10;0;0;0;1;0;1;0;50
0;10;0;0;0;1;0;1;0;79
0;8;0;0;1;1;0;1;0;35
0;20;0;0;1;1;0;1;0;39
0;13;0;0;0;1;0;1;0;74
1;19;0;0;0;1;0;1;0;58
0;18;0;0;0;0;1;1;1;75
0;18;1;0;1;1;0;1;1;47
0;13;0;0;1;1;2;1;1;79
0;20;0;0;1;0;0;1;0;36
0;11;0;0;0;0;0;1;0;63
0;12;1;0;1;1;0;0;0;40
0;10;0;0;1;1;2;1;1;58
1;34;0;0;0;1;0;1;1;39
0;10;1;0;0;1;0;1;0;78
0;15;1;0;1;1;0;1;1;37
0;9;0;0;0;1;0;1;0;59
0;12;0;0;1;1;0;0;0;32
0;11;1;0;1;1;0;1;1;42
0;11;1;0;1;1;0;1;1;38
0;10;1;0;0;0;2;1;1;50
0;13;1;0;1;0;0;1;1;53
1;19;0;0;0;0;0;1;0;58
0;39;0;0;1;0;0;1;1;59
0;17;1;0;1;0;0;1;1;70
0;10;1;0;1;0;0;0;0;36
0;16;0;0;1;1;1;1;0;71
0;12;0;0;0;0;1;1;0;71
0;20;0;0;0;1;0;1;1;45
0;12;0;0;0;0;0;1;0;72
0;23;1;1;1;0;0;1;1;67
0;11;0;0;0;1;1;1;1;53
1;28;1;0;0;1;0;1;1;57
0;21;1;0;0;1;0;1;1;67
0;15;1;0;1;1;0;1;1;51
1;11;1;0;0;1;0;1;0;49
0;32;1;0;1;0;0;1;0;55
0;11;0;0;1;1;0;1;0;33
0;42;0;0;1;0;1;1;0;34
0;11;0;0;0;1;0;1;1;73
0;11;0;0;1;1;0;1;1;67
1;14;1;0;1;1;1;1;1;30
0;11;0;0;1;1;0;1;1;40
0;10;1;0;0;1;0;1;0;54
0;20;0;0;1;1;0;1;0;35
0;12;0;0;1;1;0;1;1;43
0;10;0;1;0;1;0;1;0;62
0;18;0;0;0;1;0;1;1;77
0;19;1;0;1;0;2;1;1;43
0;16;1;0;1;1;0;0;0;68
0;12;0;0;1;1;0;1;1;44
0;11;1;0;1;0;0;0;0;31
0;10;1;0;1;1;0;1;1;45
0;13;0;1;1;0;1;0;0;35
0;10;0;0;1;1;0;1;0;79
0;13;0;0;1;0;2;1;1;54
0;15;1;0;1;1;0;1;0;42
1;13;0;1;0;1;0;1;0;40
0;16;0;0;0;1;0;1;1;46
0;11;0;0;1;1;0;1;1;69
0;24;0;0;0;0;0;1;1;56
1;11;1;0;0;1;0;1;1;53
0;10;1;0;1;1;1;1;1;52
0;12;0;0;1;1;0;1;1;33
0;12;0;0;0;0;0;1;1;78
0;11;1;0;1;1;0;0;0;50
0;10;1;0;1;1;0;0;0;30
0;10;0;0;1;1;0;1;1;50
1;15;0;0;0;0;0;1;1;73
0;12;1;0;0;0;0;1;0;64
0;23;0;0;1;1;2;1;0;68
0;12;1;0;1;1;2;0;1;56
0;14;0;0;0;1;0;1;0;51
0;22;0;0;1;0;2;1;1;37
0;12;1;0;0;0;1;1;1;79
1;24;0;0;1;1;0;1;1;46
0;11;1;0;1;1;0;0;0;38
0;22;0;0;1;1;2;1;1;74
0;14;1;0;1;1;0;1;1;37
0;13;0;0;0;1;0;1;1;53
0;22;0;0;0;1;0;1;1;37
